ADXL345_X,ADXL345_Y,ADXL345_Z,ITG3200_X,ITG3200_Y,ITG3200_Z,MMA8451Q_X,MMA8451Q_Y,MMA8451Q_Z,ADXL345_Mag,ITG3200_Mag,MMA8451Q_Mag,label
17,-179,-99,-18,-504,-352,76,-697,-279,205.25837376341067,615.0154469604809,754.6032069902698,0
15,-174,-90,-53,-568,-306,48,-675,-254,196.4713719603953,647.3553892569366,722.803569443317,0
1,-176,-81,-84,-613,-271,-2,-668,-221,193.74725804511402,675.4746479328443,703.6113984295592,0
-10,-180,-77,-104,-647,-227,-34,-697,-175,196.03316046016297,693.5084714695272,719.4372801016083,0
-21,-191,-63,-128,-675,-191,-74,-741,-133,202.21523186941187,713.0848476864446,756.4694309752377,0
-37,-225,-59,-146,-700,-159,-110,-840,-103,235.53131426627755,732.5278151715469,853.4102178905523,0
-36,-243,-46,-166,-722,-131,-147,-948,-75,249.9219878282021,752.3303795540893,962.2567225018488,0
-44,-271,-38,-190,-738,-107,-171,-1073,-38,277.1660152327482,769.5407721492085,1087.2046725433072,0
-51,-312,-33,-210,-752,-90,-200,-1191,3,317.8584590662957,785.9414736480064,1207.6795932696718,0
-55,-339,-19,-214,-764,-72,-212,-1298,52,343.9578462544502,796.6655509057738,1316.226424290289,0
-50,-357,-7,-178,-766,-52,-210,-1363,82,360.5523540347504,788.1268933363459,1381.5183675941482,0
-48,-368,1,-76,-748,-31,-193,-1398,115,371.1185794325043,752.4898670414108,1415.9371454976383,0
-39,-365,-5,89,-697,-11,-169,-1386,103,367.11169962288045,702.745330827605,1400.0592844590547,0
-29,-353,-15,283,-629,7,-135,-1355,67,354.5066995135635,689.7673520832948,1363.3557862861771,0
-15,-331,-27,467,-557,23,-71,-1301,32,332.4379641376719,727.232425019677,1303.3288149964305,0
1,-320,-39,605,-489,36,-14,-1234,-16,322.36935338211043,778.7438603289274,1234.1831306576833,0
23,-298,-44,683,-434,48,74,-1160,-58,302.1075967267291,810.6472722460737,1163.8041072276726,0
43,-269,-51,707,-393,60,150,-1075,-77,277.1479749159283,811.1091171969404,1088.1424539094135,0
57,-251,-71,689,-369,70,200,-986,-111,267.00374529208386,784.71778366493,1012.1842717608291,0
65,-231,-62,629,-360,90,248,-933,-134,247.85076154815422,730.3019923292007,974.6532716817812,0
86,-228,-63,522,-364,132,326,-899,-129,251.69227242805846,649.9261496508661,964.9445579928414,0
104,-225,-52,388,-376,174,391,-880,-102,253.26863208853953,567.6231143989821,968.3413654285353,0
110,-225,-35,254,-380,208,421,-884,-43,252.88337232803585,502.1752682082223,980.0744869651489,0
111,-230,-20,141,-368,237,426,-896,14,256.1659618294359,459.8630230840484,992.2136866623036,0
110,-236,-8,67,-344,271,406,-900,77,260.4995201531089,443.0191869434099,990.3358016349807,0
101,-240,-9,37,-317,316,390,-920,106,260.5417432965397,449.12581756118186,1004.8562086189247,0
95,-249,-4,35,-294,361,375,-943,110,266.5370518333239,466.8854249170775,1020.7712770253677,0
91,-250,-9,41,-274,401,351,-963,94,266.1991735524361,487.3992203522693,1029.2745017729721,0
84,-252,-9,39,-255,431,316,-972,80,265.7837466813951,502.30170216713384,1025.2024190373334,0
74,-256,-12,40,-224,456,289,-983,69,266.7508200549719,509.61946587625556,1026.9230740420628,0
70,-256,-16,43,-186,476,267,-985,61,265.87967203229357,512.8557302009991,1022.3673508088959,0
61,-256,-16,55,-144,485,224,-977,56,263.65318128177404,508.9066712079927,1003.9128448226968,0
49,-249,-20,74,-96,490,190,-971,44,254.56236956785267,504.76925421423994,990.392346497084,0
42,-249,-24,98,-45,491,158,-958,47,253.65527788713564,502.7026954373728,972.0787005176072,0
33,-244,-24,118,7,486,132,-945,41,247.38835865901208,500.16897144864953,955.0549722398182,0
25,-237,-22,135,57,482,102,-927,42,239.32822650076193,503.7836837373755,933.5400366347444,0
23,-232,-23,146,104,473,85,-907,41,234.26907606425564,505.8270455402716,911.8963756918874,0
18,-225,-25,148,149,463,74,-881,38,227.0990973121646,508.4033831516073,884.9186403280247,0
15,-222,-24,143,190,449,55,-862,37,223.79678281869917,508.0846386184097,864.5449670202239,0
12,-213,-20,134,228,438,39,-836,47,214.27319011019554,511.6483167176454,838.2278926401817,0
12,-212,-19,119,260,429,39,-821,52,213.1877107152286,515.5598898285242,823.5690620706924,0
9,-211,-17,91,285,424,26,-827,60,211.87496312684044,518.9238865190155,829.581219652422,0
5,-211,-13,57,309,416,18,-825,73,211.45921592590852,521.3309889120346,828.4189761225898,0
7,-212,-4,23,327,406,27,-822,94,212.15324649884573,521.817975926472,827.7976805959291,0
6,-212,-5,-8,339,394,16,-832,94,212.14381914163798,519.8278561216204,837.4461176696683,0
-1,-219,-10,-39,353,388,1,-843,105,219.23047233448182,525.9980988558799,849.5145672676838,0
3,-217,1,-72,367,385,6,-855,115,217.02304025149036,536.7476129429921,862.7201168397547,0
-1,-223,-7,-100,381,382,-2,-865,120,223.11207945783661,548.7121285337148,873.2863218899057,0
